"","name","points","pos","rd1","rd2","rd3","rd4","rd5","rd6","rd7","rd8","rd9","rd10","rd11","rd12","rd13","rd14"
"250","JOSH REYNOLDS",51.155,5,4.22605876501508e-05,0.000133825194225478,0.000211302938250754,0.000302867544826081,0.000380345288851357,0.000471909895426684,0.000549387639451961,0.000640952246027287,0.000718429990052564,0.00117262433479804,0.00375447284986281,0.011156920157935,0.0175731040592959,"0.0255894492390479"
"251","VERNON DAVIS",50.79325,4,9.44412472246856e-05,0.000299063949544838,0.000472206236123428,0.00067682893844358,0.00084997122502217,0.00105459392734232,0.00122773621392091,0.00144416639769915,0.00182774219554203,0.00292496329473023,0.00494038419838569,0.00967906506028961,0.0169652382965741,"0.0313028764107716"
"252","ALFRED BLUE",49.958,3,4.59090724656308e-05,0.000145378729474498,0.000229545362328154,0.000329015019337021,0.000413181652190677,0.000512651309199544,0.000596817942053201,0.000696287599062067,0.000780454231915724,0.000879923888924591,0.00109273122657697,0.00248016061427945,0.00659577820522508,"0.018455523617214"
"253","COREY CLEMENT",49.38075,3,4.96844588397356e-05,0.000157334119659163,0.000248422294198678,0.000356071955018105,0.000447160129557621,0.000554809790377048,0.00070786701384265,0.00239265705134126,0.00769795023532256,0.016736796613095,0.0210877867037018,0.0222448075152131,0.0224595512310198,"0.0239444345359447"
"254","TRAVIS BENJAMIN",49.251,5,0.000129372011054573,0.000409678035006146,0.000646860055272863,0.000927166079224436,0.00116434809949115,0.00144465412344273,0.00168183614370944,0.00196256856869507,0.00240610136730835,0.00381608123485482,0.00665178248814381,0.0138936691500899,0.0256734956688395,"0.049908769549431"
"255","JORDAN WILKINS",48.715,3,3.66870988584851e-05,0.000116175813051869,0.000183435494292426,0.00026292420848581,0.000330183889726366,0.00040967260391975,0.000476932285160306,0.000556420999353691,0.000623680680594247,0.000703169394787631,0.000770429076028187,0.000849917790221572,0.000917467227063048,"0.00119696896738341"
"256","MIKE GESICKI",48.714,4,3.95005299950543e-05,0.000125085011651005,0.000197502649975271,0.000283087131631222,0.000355504769955489,0.00044108925161144,0.000537034818103704,0.00215502350111083,0.00747183879188563,0.0131164626510281,0.0177093842086624,0.0386033492920727,0.0740141873332405,"0.123136558712369"
"257","GERALD EVERETT",48.645,4,2.36110988063791e-05,7.47684795535339e-05,0.000118055494031896,0.00016921287477905,0.000212499889257412,0.000263657270004567,0.000338748050382935,0.000812190602635557,0.00218920804190545,0.00601403474006034,0.0115955664645943,0.0218494533246842,0.037263030501639,"0.0759920387353847"
"258","JOSH ROSEN",48.367,2,3.98947446791772e-05,0.000126333358150728,0.000199473723395886,0.000285912336867436,0.000359052702112595,0.000445491315584145,0.000518631680829303,0.000620725575676092,0.00129233448376191,0.00538823531063389,0.011633835518507,0.0163779521250277,0.0172038345791507,"0.0189722471206802"
"259","TREY QUINN",47.78225,5,3.49198345126446e-05,0.000110579475956708,0.000174599172563223,0.000250258814007286,0.000314278510613802,0.000490576712390695,0.0011974274733079,0.00432933633476456,0.0115875556911875,0.0301704189535219,0.0571643573175834,0.102775202455813,0.150457644077708,"0.214267699788249"
"260","JEFF HEUERMAN",47.33275,4,0.000647525099774491,0.00205049614928589,0.00323762549887246,0.00464059654838386,0.00582772589797042,0.00723069694748182,0.00841782629706839,0.00982079734657978,0.0110079266961664,0.0124108977456778,0.0135980270952643,0.0150009981447757,0.0161881274943623,"0.0175910985438737"
"261","CHRIS CONLEY",47.13575,5,3.77726619898365e-05,0.000119613429634482,0.000188863309949182,0.000270704077593828,0.000339953957908528,0.000421794725553174,0.000491044605867874,0.000659186371470027,0.00152815079251283,0.0053231691191267,0.011782755887747,0.0224059470592315,0.0340945261457246,"0.0495215254232025"
"262","ZACH ZENNER",46.2965,3,0.000121362315724577,0.000384313999794493,0.000606811578622884,0.0008697632626928,0.00109226084152119,0.00135521252559111,0.0015777101044195,0.00184066178848941,0.0020631593673178,0.00232611105138772,0.00254860863021611,0.00281156031428603,0.00303405789311442,"0.00329700957718434"
"263","MATT LACOSSE",46.26,4,0.000374542137750117,0.00118605010287537,0.00187271068875058,0.00268421865387584,0.00337087923975105,0.0041823872048763,0.00486904779075152,0.00568055575587677,0.00636721634175198,0.00717872430687723,0.00786538489275245,0.0086768928578777,0.00936355344375291,"0.0101750614088782"
"264","JUSTIN JACKSON",45.94225,3,0.000108127661604345,0.000712836664563297,0.00193161921310588,0.0044645313343483,0.00747955666559361,0.0123161307679951,0.0186214407388309,0.0320664379716636,0.0521014827463258,0.0898943235631086,0.134400479961056,0.198225890376766,0.257269187064472,"0.329259056024318"
"265","DEEBO SAMUEL",45.847,5,3.93933373797986e-05,0.000124745568369362,0.000196966686898993,0.000282318917888556,0.000354540036418187,0.000607497879191263,0.00195808947602147,0.0081285496509351,0.0205140859721975,0.0486518013278731,0.0891076533872766,0.158451933955951,0.231567185453572,"0.326666629143434"
